"Name","Path","State","Enabled","Trigger","LastRunTime","NextRunTime","LastResult","Author","Description","Execute","Arguments"
"ASUS Optimization 36D18D69AFC3","\","Ready","True","Event","30-11-1999 00:00:00",,"267011","ASUSTek Computer Inc.",,"""C:\WINDOWS\System32\DriverStore\FileRepository\asussci2.inf_amd64_cfd6e6fcf484217d\ASUSOptimization\AsusHotkey.exe""","-CancelShutdown"
"ASUS Update Checker 2.0","\","Ready","True","Logon, Registration","27-06-2026 18:54:03",,"0","ASUSTeK COMPUTER INC.",,"""C:\WINDOWS\System32\DriverStore\FileRepository\asussci2.inf_amd64_cfd6e6fcf484217d\ASUSSoftwareManager\AsusUpdateChecker.exe""",
"AsusSystemAnalysis_754F3273-0563-4F20-B12F-826510B07474","\","Ready","True","Time","27-06-2026 12:01:00","28-06-2026 00:00:00","0","ASUSTeK COMPUTER INC.",,"""C:\WINDOWS\System32\DriverStore\FileRepository\asussci2.inf_amd64_cfd6e6fcf484217d\ASUSSystemAnalysis\AsusSystemAnalysis.exe""","-j0"
"AsusSystemDiagnosis_DriverQuality","\","Ready","True","Time","27-06-2026 12:04:02","28-06-2026 12:04:02","0","ASUSTeK COMPUTER INC.",,"""C:\WINDOWS\System32\DriverStore\FileRepository\asussci2.inf_amd64_cfd6e6fcf484217d\ASUSSystemDiagnosis\AsusSystemDiagnosis.exe""","-datacollection"
"Microsoft Office 15 Sync Maintenance for DESKTOP-MD2B5C0-admin DESKTOP-MD2B5C0","\","Ready","True","Logon, Idle, Time","21-06-2026 19:18:55",,"0","Microsoft Office","Lightweight task keeps Microsoft Office Document Cache in good shape. Disabling this task may lead to unexpected issues when working with documents from online sources as well as higher disk usage.","C:\Program Files\Microsoft Office\Office15\MsoSync.exe",
"MicrosoftEdgeUpdateTaskMachineCore{F63A356F-AC90-4685-B4C7-7EF86FD162A4}","\","Ready","True","Logon, Daily","27-06-2026 11:38:06","28-06-2026 10:25:53","0",,"Keeps your Microsoft software up to date. If this task is disabled or stopped, your Microsoft software will not be kept up to date, meaning security vulnerabilities that may arise cannot be fixed and features may not work. This task uninstalls itself when there is no Microsoft software using it.","C:\Program Files (x86)\Microsoft\EdgeUpdate\MicrosoftEdgeUpdate.exe","/c"
"MicrosoftEdgeUpdateTaskMachineUA{1FBCE9D6-162A-42D8-A108-5E41AB27B340}","\","Ready","True","Daily","27-06-2026 19:38:07","27-06-2026 19:55:53","0",,"Keeps your Microsoft software up to date. If this task is disabled or stopped, your Microsoft software will not be kept up to date, meaning security vulnerabilities that may arise cannot be fixed and features may not work. This task uninstalls itself when there is no Microsoft software using it.","C:\Program Files (x86)\Microsoft\EdgeUpdate\MicrosoftEdgeUpdate.exe","/ua /installsource scheduler"
"npcapwatchdog","\","Ready","True","Boot","21-06-2026 19:17:55",,"0",,"Ensure Npcap service is configured to start at boot","C:\Program Files\Npcap\CheckStatus.bat",
"RtkAudUService64_BG","\","Running","True","Logon","21-06-2026 19:06:12",,"267009","Realtek",,"""""C:\WINDOWS\System32\DriverStore\FileRepository\realtekservice.inf_amd64_be03f2dca68bf962\RtkAudUService64.exe""""","-background"
"windows-system-clean-lite","\","Ready","True","Time","27-06-2026 19:41:01","27-06-2026 19:51:00","0","DESKTOP-MD2B5C0\admin",,"powershell.exe","-NoProfile -ExecutionPolicy Bypass -File G:\Coder\projects\utility\windows-system-cleanup-lite\windows-system-cleanup-lite.ps1"
"ZoomUpdateTaskUser-S-1-5-21-319741689-1644082191-58241917-1001","\","Ready","True","Daily","27-06-2026 18:56:57","27-06-2026 19:56:57","0","Zoom Communications, Inc.",,"""C:\Users\admin\AppData\Roaming\Zoom\bin\Zoom.exe""","--action=UpdateSchedule"
"GoogleUpdaterTaskSystem150.0.7863.0{69CF9778-53FD-4A5E-8A98-437AEC1716DD}","\GoogleSystem\GoogleUpdater\","Ready","True","Logon, Daily","27-06-2026 19:38:07","27-06-2026 20:25:45","0","NT AUTHORITY\SYSTEM","GoogleUpdater Task System 150.0.7863.0","""C:\Program Files (x86)\Google\GoogleUpdater\150.0.7863.0\updater.exe""","--wake --system"
"RunPlatformExperienceHelper_Daily","\GoogleUserPEH\","Ready","True","Daily","27-06-2026 12:33:06","28-06-2026 12:32:42","0","DESKTOP-MD2B5C0\admin","Runs platform experience helper daily","""C:\Program Files\Google\Chrome\Application\PlatformExperienceHelper\platform_experience_helper.exe""",
"RunPlatformExperienceHelper_Metrics","\GoogleUserPEH\","Ready","True","Time","30-11-1999 00:00:00","29-06-2026 15:48:19","267011","DESKTOP-MD2B5C0\admin","Runs platform experience helper once in the future","""C:\Program Files\Google\Chrome\Application\PlatformExperienceHelper\platform_experience_helper.exe""","--chrome-upload-metrics"
"RunPlatformExperienceHelperOnUnlock","\GoogleUserPEH\","Ready","True","SessionStateChange","27-06-2026 15:48:18",,"0","DESKTOP-MD2B5C0\admin","Runs platform experience helper when screen is unlocked","""C:\Program Files\Google\Chrome\Application\PlatformExperienceHelper\platform_experience_helper.exe""",
"Office 15 Subscription Heartbeat","\Microsoft\Office\","Ready","True","Daily","27-06-2026 11:38:06","28-06-2026 05:47:58","1","Microsoft Office","Task used to ensure that the Microsoft Office Subscription licensing is current.","%ProgramFiles%\Common Files\Microsoft Shared\Office15\OLicenseHeartbeat.exe",
"OfficeTelemetryAgentFallBack","\Microsoft\Office\","Ready","True","Logon","27-06-2026 19:36:20",,"0",,"This task initiates the background task for Office Telemetry Agent, which scans and uploads usage and error information for Office solutions.","""C:\Program Files\Microsoft Office\Office15\msoia.exe""","scan upload mininterval:2880"
"OfficeTelemetryAgentLogOn","\Microsoft\Office\","Ready","True","Logon","27-06-2026 19:17:55",,"0",,"This task initiates Office Telemetry Agent, which scans and uploads usage and error information for Office solutions when a user logs on to the computer.","""C:\Program Files\Microsoft Office\Office15\msoia.exe""","scan upload"
"BackgroundDownload","\Microsoft\VisualStudio\Updates\","Ready","True","Idle","27-06-2026 18:15:22",,"0","Microsoft Visual Studio",,"C:\Program Files (x86)\Microsoft Visual Studio\Installer\resources\app\ServiceHub\Services\Microsoft.VisualStudio.Setup.Service\BackgroundDownload.exe",
".NET Framework NGEN v4.0.30319","\Microsoft\Windows\.NET Framework\","Ready","True","-","27-06-2026 11:53:04",,"0",,,,
".NET Framework NGEN v4.0.30319 64","\Microsoft\Windows\.NET Framework\","Ready","True","-","27-06-2026 11:53:04",,"0",,,,
".NET Framework NGEN v4.0.30319 64 Critical","\Microsoft\Windows\.NET Framework\","Disabled","False","Idle","11-06-2026 19:31:13",,"0",,,,
".NET Framework NGEN v4.0.30319 Critical","\Microsoft\Windows\.NET Framework\","Disabled","False","Idle","11-06-2026 19:31:13",,"0",,,,
"RecoverabilityToastTask","\Microsoft\Windows\AccountHealth\","Ready","True","SessionStateChange","27-06-2026 15:48:48",,"0","Microsoft Corporation","AccountHealth Task Handler evaluates the state of a Microsoft Account and takes any necessary repair action",,
"AD RMS Rights Policy Template Management (Automated)","\Microsoft\Windows\Active Directory Rights Management Services Client\","Disabled","False","Daily, Logon","30-11-1999 00:00:00","28-06-2026 03:16:43","267011","Microsoft Corporation","Updates the AD RMS rights policy templates for the user. This job does not provide a credential prompt if authentication to the template distribution web service on the server fails. In this case, it fails silently.",,
"AD RMS Rights Policy Template Management (Manual)","\Microsoft\Windows\Active Directory Rights Management Services Client\","Ready","True","Logon","30-11-1999 00:00:00",,"267011","Microsoft Corporation","Updates the AD RMS rights policy templates for the user. This job provides a credential prompt if authentication to the template distribution web service on the server fails.",,
"EDP Policy Manager","\Microsoft\Windows\AppID\","Ready","True",", ","30-11-1999 00:00:00",,"267011","Microsoft Corporation","This task performs steps necessary to configure Windows Information Protection.",,
"PolicyConverter","\Microsoft\Windows\AppID\","Ready","True","-","10-09-2025 11:32:56",,"0","Microsoft Corporation","Converts the software restriction policies policy from XML into binary format.","%windir%\system32\appidpolicyconverter.exe",
"VerifiedPublisherCertStoreCheck","\Microsoft\Windows\AppID\","Ready","True","Boot","27-06-2026 18:15:22",,"2147946720","Microsoft Corporation","Inspects the AppID certificate cache for invalid or revoked certificates.","%windir%\system32\appidcertstorecheck.exe",
"MareBackup","\Microsoft\Windows\Application Experience\","Ready","True","-","30-11-1999 00:00:00",,"267011","Microsoft Corporation","Gathers Win32 application data for App Backup scenario","%windir%\system32\compattelrunner.exe","-m:aeinv.dll -f:UpdateSoftwareInventoryW invsvc"
"Microsoft Compatibility Appraiser Exp","\Microsoft\Windows\Application Experience\","Ready","True","","30-11-1999 00:00:00",,"267011","Microsoft Corporation","Collects program telemetry information if opted-in to the Microsoft Customer Experience Improvement Program.","%windir%\system32\compattelrunner.exe","-m:appraiser.dll -f:DoScheduledTelemetryRun express"
"PcaPatchDbTask","\Microsoft\Windows\Application Experience\","Ready","True","Time","27-06-2026 15:02:56","28-06-2026 03:30:26","0","Microsoft Corporation","Updates compatibility database","%windir%\system32\rundll32.exe","%windir%\system32\PcaSvc.dll,PcaPatchSdbTask"
"SdbinstMergeDbTask","\Microsoft\Windows\Application Experience\","Ready","True",", ","30-11-1999 00:00:00",,"267011","Microsoft Corporation","Merges shim databases that are pending merge.","%windir%\system32\sdbinst.exe","-mm"
"StartupAppTask","\Microsoft\Windows\Application Experience\","Ready","True","-","27-06-2026 11:53:01",,"0","Microsoft Corporation","Scans startup entries and raises notification to the user if there are too many startup entries.","%windir%\system32\rundll32.exe","Startupscan.dll,SusRunTask"
"appuriverifierdaily","\Microsoft\Windows\ApplicationData\","Ready","True","-","27-06-2026 11:53:02",,"0","Microsoft Corporation","Verifies AppUriHandler host registrations.","%windir%\system32\AppHostRegistrationVerifier.exe",
"appuriverifierinstall","\Microsoft\Windows\ApplicationData\","Ready","True","","27-06-2026 11:49:23",,"0","Microsoft Corporation","Verifies AppUriHandler host registrations.","%windir%\system32\AppHostRegistrationVerifier.exe",
"CleanupTemporaryState","\Microsoft\Windows\ApplicationData\","Ready","True","-","23-06-2026 21:46:52",,"0","Microsoft Corporation","Cleans up each package's unused temporary files.","%windir%\system32\rundll32.exe","Windows.Storage.ApplicationData.dll,CleanupTemporaryState"
"DsSvcCleanup","\Microsoft\Windows\ApplicationData\","Ready","True","-","27-06-2026 11:53:01",,"0","Microsoft Corporation","Performs maintenance for the Data Sharing Service.","%windir%\system32\dstokenclean.exe",
"Backup","\Microsoft\Windows\AppListBackup\","Ready","True","-","27-06-2026 11:53:02",,"0","$(@%SystemRoot%\system32\AppListBackupLauncher.dll,-600)","$(@%SystemRoot%\system32\AppListBackupLauncher.dll,-602)",,
"BackupNonMaintenance","\Microsoft\Windows\AppListBackup\","Ready","True","Daily","27-06-2026 11:38:06","11-07-2026 02:27:11","0","$(@%SystemRoot%\system32\AppListBackupLauncher.dll,-600)","$(@%SystemRoot%\system32\AppListBackupLauncher.dll,-602)",,
"Pre-staged app cleanup","\Microsoft\Windows\AppxDeploymentClient\","Disabled","False","Logon","26-08-2025 18:59:58",,"0",,,"%windir%\system32\rundll32.exe","%windir%\system32\AppxDeploymentClient.dll,AppxPreStageCleanupRunTask"
"UCPD velocity","\Microsoft\Windows\AppxDeploymentClient\","Ready","True","Logon","27-06-2026 11:53:02",,"0",,,"%windir%\system32\UCPDMgr.exe",
"Proxy","\Microsoft\Windows\Autochk\","Ready","True","Boot","21-06-2026 20:05:58",,"0","Microsoft Corporation","This task collects and uploads autochk SQM data if opted-in to the Microsoft Customer Experience Improvement Program.","%windir%\system32\rundll32.exe","/d acproxy.dll,PerformAutochkOperations"
"BitLocker Encrypt All Drives","\Microsoft\Windows\BitLocker\","Ready","True","","30-11-1999 00:00:00",,"267011",,,,
"BitLocker MDM policy Refresh","\Microsoft\Windows\BitLocker\","Ready","True","","30-11-1999 00:00:00",,"267011",,,,
"UninstallDeviceTask","\Microsoft\Windows\Bluetooth\","Ready","True","-","30-11-1999 00:00:00",,"267011","Microsoft","Uninstalls the PnP device associated with the specified Bluetooth service ID","BthUdTask.exe","$(Arg0)"
"BgTaskRegistrationMaintenanceTask","\Microsoft\Windows\BrokerInfrastructure\","Ready","True","-","21-06-2026 09:17:57",,"268435456","Microsoft Corporation","Maintains registrations for background tasks for Universal Windows Platform applications.",,
"maintenancetasks","\Microsoft\Windows\capabilityaccessmanager\","Ready","True","-","27-06-2026 11:53:04",,"0","Microsoft Corporation","Capability Access Manager Maintenance Tasks","%windir%\system32\rundll32.exe","%windir%\system32\CapabilityAccessManager.dll,CapabilityAccessManagerDoStoreMaintenance"
"AikCertEnrollTask","\Microsoft\Windows\CertificateServicesClient\","Ready","True",", Time","21-06-2026 19:18:02",,"2149122452","Microsoft Corporation","This task enrolls a certificate for Attestation Identity Key.",,
"CryptoPolicyTask","\Microsoft\Windows\CertificateServicesClient\","Ready","True","","30-11-1999 00:00:00",,"267011","Microsoft Corporation","This task synchronizes cryptographic policy.",,
"KeyPreGenTask","\Microsoft\Windows\CertificateServicesClient\","Ready","True",", , , Logon, SessionStateChange","21-06-2026 19:18:00",,"0","Microsoft Corporation","This task pre-generates TPM based Attestation Identity Key (AIK) and Storage Key (SK).",,
"SystemTask","\Microsoft\Windows\CertificateServicesClient\","Ready","True",", Registration, Boot","27-06-2026 19:18:05",,"0","Microsoft Corporation","Certificate Services Client automatically manages digital identities such as Certificates, Keys and Credentials for the users and the machine, enabling enrollment, roaming and other services.",,
"UserTask","\Microsoft\Windows\CertificateServicesClient\","Ready","True",", Registration, Logon, Event","27-06-2026 19:06:20",,"0","Microsoft Corporation","Certificate Services Client automatically manages digital identities such as Certificates, Keys and Credentials for the users and the machine, enabling enrollment, roaming and other services.",,
"UserTask-Roam","\Microsoft\Windows\CertificateServicesClient\","Ready","True","SessionStateChange, SessionStateChange","27-06-2026 15:48:18",,"0","Microsoft Corporation","Certificate Services Client automatically manages digital identities such as Certificates, Keys and Credentials for the users and the machine, enabling enrollment, roaming and other services.",,
"ProactiveScan","\Microsoft\Windows\Chkdsk\","Ready","True","-","27-06-2026 11:53:02",,"0","Microsoft Corporation","NTFS Volume Health Scan",,
"SyspartRepair","\Microsoft\Windows\Chkdsk\","Ready","True","","30-11-1999 00:00:00",,"267011",,,"%windir%\system32\bcdboot.exe","%windir% /sysrepair"
"License Validation","\Microsoft\Windows\Clip\","Disabled","False","Boot","30-11-1999 00:00:00",,"267011","Microsoft Corporation","Windows Store legacy license migration task","%SystemRoot%\system32\ClipUp.exe","-p -s -o"
"CreateObjectTask","\Microsoft\Windows\CloudExperienceHost\","Ready","True","-","27-08-2025 07:03:12",,"0",,,,
"Backup","\Microsoft\Windows\CloudRestore\","Ready","True",", Daily","23-06-2026 23:20:00","01-07-2026 20:57:48","0","Microsoft Corporation","Handles restoring settings from the cloud",,
"Restore","\Microsoft\Windows\CloudRestore\","Ready","True","","30-11-1999 00:00:00",,"267011","Microsoft Corporation","Handles restoring settings from the cloud",,
"UnifiedConsentSyncTask","\Microsoft\Windows\ConsentUX\UnifiedConsent\","Ready","True",", Time","27-06-2026 12:34:33","28-06-2026 12:02:27","0","$(@%systemRoot%\system32\unifiedconsent.dll,-102)","$(@%systemRoot%\system32\unifiedconsent.dll,-101)",,
"Consolidator","\Microsoft\Windows\Customer Experience Improvement Program\","Ready","True","Time","27-06-2026 18:00:01","28-06-2026 00:00:00","0","Microsoft Corporation","If the user has consented to participate in the Windows Customer Experience Improvement Program, this job collects and sends usage data to Microsoft.","%SystemRoot%\System32\wsqmcons.exe",
"UsbCeip","\Microsoft\Windows\Customer Experience Improvement Program\","Ready","True","-","27-06-2026 11:53:01",,"0","Microsoft Corporation","The USB CEIP (Customer Experience Improvement Program) task collects Universal Serial Bus related statistics and information about your machine and sends it to the Windows Device Connectivity engineering group at Microsoft.  The information received is used to help improve the reliability, stability, and overall functionality of USB in Windows.  If the user has not consented to participate in Windows CEIP, this task does not do anything.",,
"Data Integrity Check And Scan","\Microsoft\Windows\Data Integrity Scan\","Ready","True","Daily, Boot","30-11-1999 00:00:00","27-06-2026 23:12:14","267011","Microsoft Corporation","Scans fault-tolerant volumes for latent corruptions",,
"Data Integrity Scan","\Microsoft\Windows\Data Integrity Scan\","Ready","True","-","30-11-1999 00:00:00",,"267011","Microsoft Corporation","Scans fault-tolerant volumes for latent corruptions",,
"Data Integrity Scan for Crash Recovery","\Microsoft\Windows\Data Integrity Scan\","Ready","True","","30-11-1999 00:00:00",,"267011","Microsoft Corporation","Scans fault-tolerant volumes for fast crash recovery",,
"ScheduledDefrag","\Microsoft\Windows\Defrag\","Ready","True","-","27-06-2026 12:14:58",,"0","Microsoft Corporation","This task optimizes local storage drives.","%windir%\system32\defrag.exe","-c -h -o -$"
"Device","\Microsoft\Windows\Device Information\","Ready","True","Time, ","27-06-2026 11:38:06","28-06-2026 04:38:47","0",,,"%windir%\system32\devicecensus.exe","SystemCxt"
"Device User","\Microsoft\Windows\Device Information\","Ready","True","Logon","21-06-2026 19:37:58",,"0",,,"%windir%\system32\devicecensus.exe","UserCxt"
"Driver Recovery on Reboot","\Microsoft\Windows\Device Setup\","Disabled","False","Boot","30-11-1999 00:00:00",,"267011","$(@%SystemRoot%\system32\DeviceSetupManagerAPI.dll,-600)","$(@%SystemRoot%\system32\DeviceSetupManagerAPI.dll,-602)",,
"Metadata Refresh","\Microsoft\Windows\Device Setup\","Ready","True","-","14-06-2026 15:29:24",,"0","Microsoft Corporation","Performs a device metadata refresh on a periodic basis",,
"HandleCommand","\Microsoft\Windows\DeviceDirectoryClient\","Ready","True","","30-11-1999 00:00:00",,"267011",,,,
"HandleWnsCommand","\Microsoft\Windows\DeviceDirectoryClient\","Ready","True","","30-11-1999 00:00:00",,"267011",,,,
"IntegrityCheck","\Microsoft\Windows\DeviceDirectoryClient\","Disabled","False","Time","30-11-1999 00:00:00","02-07-2026 12:49:37","267011",,,,
"LocateCommandUserSession","\Microsoft\Windows\DeviceDirectoryClient\","Ready","True","","30-11-1999 00:00:00",,"267011",,,,
"RegisterDeviceAccountChange","\Microsoft\Windows\DeviceDirectoryClient\","Ready","True",", ","27-08-2025 16:07:35",,"0",,,,
"RegisterDeviceLocationRightsChange","\Microsoft\Windows\DeviceDirectoryClient\","Ready","True","","21-06-2026 19:45:58",,"0",,,,
"RegisterDevicePeriodic24","\Microsoft\Windows\DeviceDirectoryClient\","Ready","True","Time","27-06-2026 11:53:00","28-06-2026 16:04:14","0",,,,
"RegisterDevicePolicyChange","\Microsoft\Windows\DeviceDirectoryClient\","Ready","True",", ","30-11-1999 00:00:00",,"267011",,,,
"RegisterDeviceProtectionStateChanged","\Microsoft\Windows\DeviceDirectoryClient\","Ready","True","","21-06-2026 19:46:03",,"0",,,,
"RegisterDeviceSettingChange","\Microsoft\Windows\DeviceDirectoryClient\","Ready","True",", ","27-08-2025 15:36:17",,"0",,,,
"RegisterDeviceWnsFallback","\Microsoft\Windows\DeviceDirectoryClient\","Ready","True","Time","30-11-1999 00:00:00","09-07-2026 20:32:36","267011",,,,
"RegisterUserDevice","\Microsoft\Windows\DeviceDirectoryClient\","Ready","True","Logon, , ","21-06-2026 19:21:20",,"0",,,,
"RecommendedTroubleshootingScanner","\Microsoft\Windows\Diagnosis\","Ready","True",", , , Boot","26-08-2025 18:50:11",,"0","Microsoft Corporation","Check for recommended troubleshooting from Microsoft",,
"Scheduled","\Microsoft\Windows\Diagnosis\","Ready","True","-","23-06-2026 21:46:52",,"0","Microsoft Corporation","The Windows Scheduled Maintenance Task performs periodic maintenance of the computer system by fixing problems automatically or reporting them through Security and Maintenance.",,
"UnexpectedCodepath","\Microsoft\Windows\Diagnosis\","Ready","True","","27-06-2026 11:33:05",,"0",,,"%windir%\system32\UCConfigTask.exe",
"DirectXDatabaseUpdater","\Microsoft\Windows\DirectX\","Ready","True","Logon, ","27-06-2026 11:32:29",,"0",,,"%windir%\system32\directxdatabaseupdater.exe",
"DXGIAdapterCache","\Microsoft\Windows\DirectX\","Ready","True","Boot, , ","21-06-2026 19:18:55",,"0",,,"%windir%\system32\dxgiadaptercache.exe",
"SilentCleanup","\Microsoft\Windows\DiskCleanup\","Ready","True","-","27-06-2026 18:15:22",,"2147946720","Microsoft Corporation","Maintenance task used by the system to launch a silent auto disk cleanup when running low on free disk space.","%windir%\system32\cleanmgr.exe","/autocleanstoragesense /d %systemdrive%"
"Microsoft-Windows-DiskDiagnosticDataCollector","\Microsoft\Windows\DiskDiagnostic\","Disabled","False","-","04-10-2025 13:05:27",,"0","Microsoft Corporation","The Windows Disk Diagnostic reports general disk and system information to Microsoft for users participating in the Customer Experience Program.","%windir%\system32\rundll32.exe","dfdts.dll,DfdGetDefaultPolicyAndSMART"
"Microsoft-Windows-DiskDiagnosticResolver","\Microsoft\Windows\DiskDiagnostic\","Disabled","False","Logon","30-11-1999 00:00:00",,"267011","Microsoft Corporation","The Microsoft-Windows-DiskDiagnosticResolver warns users about faults reported by hard disks that support the Self Monitoring and Reporting Technology (S.M.A.R.T.) standard. This task is triggered automatically by the Diagnostic Policy Service when a S.M.A.R.T. fault is detected.","%windir%\system32\DFDWiz.exe",
"Diagnostics","\Microsoft\Windows\DiskFootprint\","Ready","True","-","27-06-2026 11:53:01",,"0",,,"%windir%\system32\disksnapshot.exe","-z"
"StorageSense","\Microsoft\Windows\DiskFootprint\","Ready","True","-","27-06-2026 11:53:01",,"2147746132",,,,
"dusmtask","\Microsoft\Windows\DUSM\","Ready","True","","30-11-1999 00:00:00",,"267011",,,"%SystemRoot%\System32\dusmtask.exe",
"EDP App Launch Task","\Microsoft\Windows\EDP\","Ready","True","","30-11-1999 00:00:00",,"267011",,,,
"EDP Auth Task","\Microsoft\Windows\EDP\","Ready","True","","30-11-1999 00:00:00",,"267011",,,,
"EDP Inaccessible Credentials Task","\Microsoft\Windows\EDP\","Ready","True","","30-11-1999 00:00:00",,"267011",,,,
"StorageCardEncryption Task","\Microsoft\Windows\EDP\","Ready","True","","30-11-1999 00:00:00",,"267011",,,,
"ExploitGuard MDM policy Refresh","\Microsoft\Windows\ExploitGuard\","Ready","True",", , Boot","21-06-2026 19:17:54",,"0","Microsoft Corporation","Task for applying changes to the machine's Exploit Protection settings.",,
"DmClient","\Microsoft\Windows\Feedback\Siuf\","Ready","True","-","27-06-2026 11:53:01",,"0","Microsoft Windows Feedback","Update SIUF strings","%windir%\system32\dmclient.exe",
"DmClientOnScenarioDownload","\Microsoft\Windows\Feedback\Siuf\","Ready","True","","27-06-2026 16:47:25",,"0","Microsoft Windows Feedback","Update SIUF strings","%windir%\system32\dmclient.exe","utcwnf"
"File History (maintenance mode)","\Microsoft\Windows\FileHistory\","Ready","True","-","27-06-2026 11:53:01",,"0","Microsoft Corporation","Protects user files from accidental loss by copying them to a backup location when the system is unattended",,
"BootstrapUsageDataReporting","\Microsoft\Windows\Flighting\FeatureConfig\","Disabled","False","Time","31-05-2026 12:24:19","27-06-2026 19:52:46","0","Microsoft Corporation","Task periodically logging feature usage reports",,
"GovernedFeatureUsageProcessing","\Microsoft\Windows\Flighting\FeatureConfig\","Ready","True",", ","21-06-2026 19:17:55",,"0","Microsoft Corporation","Task periodically reconciling feature configurations",,
"ReconcileConfigs","\Microsoft\Windows\Flighting\FeatureConfig\","Ready","True","","30-11-1999 00:00:00",,"267011","Microsoft Corporation","Task periodically reconciling feature configurations",,
"ReconcileFeatures","\Microsoft\Windows\Flighting\FeatureConfig\","Ready","True",", , , , ","27-06-2026 11:53:03",,"0","Microsoft Corporation","Task periodically reconciling feature configurations",,
"SafeguardsReconciliation","\Microsoft\Windows\Flighting\FeatureConfig\","Ready","True","","27-06-2026 11:53:03",,"0","Microsoft Corporation","Task periodically reconciling feature configurations",,
"UsageDataFlushing","\Microsoft\Windows\Flighting\FeatureConfig\","Ready","True",", , ","21-06-2026 19:17:55",,"0","Microsoft Corporation","Task persisting feature usage data to disk",,
"UsageDataReceiver","\Microsoft\Windows\Flighting\FeatureConfig\","Ready","True","","27-06-2026 11:37:03",,"0","Microsoft Corporation","Task persisting feature usage data to disk",,
"UsageDataReporting","\Microsoft\Windows\Flighting\FeatureConfig\","Ready","True","","27-06-2026 11:53:02",,"0","Microsoft Corporation","Task periodically logging feature usage reports",,
"RefreshCache","\Microsoft\Windows\Flighting\OneSettings\","Ready","True","Time, , , ","27-06-2026 19:37:57","28-06-2026 00:59:49","0","Microsoft Corporation","Task periodically refreshing data for OneSettings clients.",,
"Monitoring","\Microsoft\Windows\Hotpatch\","Ready","True","Boot, Logon, Time","27-06-2026 11:53:02","28-06-2026 03:01:02","0",,,"%systemroot%\system32\cmd.exe","/d /c %systemroot%\system32\hpatchmonTask.cmd"
"InputSettingsRestoreDataAvailable","\Microsoft\Windows\input\","Ready","True","","30-11-1999 00:00:00",,"267011",,,,
"LocalUserSyncDataAvailable","\Microsoft\Windows\input\","Ready","True","","21-06-2026 19:06:20",,"0",,,,
"MouseSyncDataAvailable","\Microsoft\Windows\input\","Ready","True","","20-04-2026 10:46:56",,"0",,,,
"PenSyncDataAvailable","\Microsoft\Windows\input\","Ready","True","","20-04-2026 10:46:56",,"0",,,,
"RemoteMouseSyncDataAvailable","\Microsoft\Windows\input\","Ready","True","","30-11-1999 00:00:00",,"267011",,,,
"RemotePenSyncDataAvailable","\Microsoft\Windows\input\","Ready","True","","30-11-1999 00:00:00",,"267011",,,,
"RemoteTouchpadSyncDataAvailable","\Microsoft\Windows\input\","Ready","True","","30-11-1999 00:00:00",,"267011",,,,
"syncpensettings","\Microsoft\Windows\input\","Ready","True","","30-11-1999 00:00:00",,"267011",,,,
"TouchpadSyncDataAvailable","\Microsoft\Windows\input\","Ready","True","","30-11-1999 00:00:00",,"267011",,,,
"RestoreDevice","\Microsoft\Windows\InstallService\","Ready","True","","21-06-2026 20:17:55",,"0",,,,
"ScanForUpdates","\Microsoft\Windows\InstallService\","Ready","True","Time, , Time","27-06-2026 11:38:06","28-06-2026 17:35:02","0",,,,
"ScanForUpdatesAsUser","\Microsoft\Windows\InstallService\","Ready","True","-","27-06-2026 11:53:01",,"0",,,,
"SmartRetry","\Microsoft\Windows\InstallService\","Ready","True","Boot, Time, , , , Time","27-06-2026 12:12:57",,"0",,,,
